Account,Akun,theme,frontend/Magento/blank,,,,
Account Dashboard,Beranda Akun,theme,frontend/Magento/blank,,,,
Account Information,Informasi Akun,theme,frontend/Magento/blank,,,,
Address Book,Alamat,theme,frontend/Magento/blank,,,,
Menu,Menu,theme,frontend/Magento/blank,,,,
Settings,Pengaturan,theme,frontend/Magento/blank,,,,
Summary,Ringkasan,theme,frontend/Magento/blank,,,,
About Us,Tentang Kami,theme,frontend/Magento/luma,,,,
Account Dashboard,Beranda Akun,theme,frontend/Magento/luma,,,,
Account Information,Informasi Akun,theme,frontend/Magento/luma,,,,
Address Book,Alamat,theme,frontend/Magento/luma,,,,
Billing Info,Info Penagihan,theme,frontend/Magento/luma,,,,
Check the status of orders,Cek status Order,theme,frontend/Magento/luma,,,,
Clear All,Hapus,theme,frontend/Magento/luma,,,,
Credit memo for your %store_name order,Kredit memo untuk order %store_name,theme,frontend/Magento/luma,,,,
Customer Service,Customer Service,theme,frontend/Magento/luma,,,,
Email:,Email:,theme,frontend/Magento/luma,,,,
Footer,Footer,theme,frontend/Magento/luma,,,,
For shipping to multiple family members and friends,Untuk pengiriman ke banyak alamat berbeda,theme,frontend/Magento/luma,,,,
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Lupa kata sandi akun? Klik <a href=""%reset_url""> di sini</a> untuk menyetel ulang.",theme,frontend/Magento/luma,,,,
"Hours of Operation:<br /><span class=""no-link"">%store_hours</span>.","Jam Kerja:<br /><span class=""no-link"">%store_hours</span>.",theme,frontend/Magento/luma,,,,
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","Apabila kamu memiliki pertanyaan tentang order kamu, silakan hubungi kami lewat  <a href=""mailto:%store_email"">%store_email</a>.",theme,frontend/Magento/luma,,,,
Invoice for your %store_name order,Invoice untuk order %store_name,theme,frontend/Magento/luma,,,,
Manage Addresses,Pengaturan Alamat,theme,frontend/Magento/luma,,,,
Now Shopping by,Sekarang Belanja Berdasarkan,theme,frontend/Magento/luma,,,,
Once your package ships we will send you a tracking number.,"Setelah paket dikirim, kami akan mengirimkan nomor tracking pengiriman.",theme,frontend/Magento/luma,,,,
Order History,Riwayat Order,theme,frontend/Magento/luma,,,,
Order Status,Status Order,theme,frontend/Magento/luma,,,,
Password you set when creating account,Kata Sandi yang Anda buat saat membuat akun,theme,frontend/Magento/luma,,,,
Password:,Kata Sandi:,theme,frontend/Magento/luma,,,,
Payment Method,Metode Pembayaran,theme,frontend/Magento/luma,,,,
"Placed on <span class=""no-link"">%created_at</span>","Dibuat pada <span class=""no-link"">%created_at</span>",theme,frontend/Magento/luma,,,,
